Approved symbol	Approved name	Locus type
IFT122	intraflagellar transport 122	gene with protein product
IFT140	intraflagellar transport 140	gene with protein product
IFT172	intraflagellar transport 172	gene with protein product
IFTAP	intraflagellar transport associated protein	gene with protein product
IGA	symbol withdrawn, see [HGNC:1698](/data/gene-symbol-report/#!/hgnc_id/HGNC:1698)	unknown
IGAD1	immunoglobulin A (IgA) deficiency susceptibility 1	phenotype only
IGB	symbol withdrawn, see [HGNC:1699](/data/gene-symbol-report/#!/hgnc_id/HGNC:1699)	unknown
IGBP1	immunoglobulin binding protein 1	gene with protein product
IGBP1-AS1	IGBP1 antisense RNA 1	RNA, long non-coding
IGBP1-AS2	IGBP1 antisense RNA 2	RNA, long non-coding
IGBP1P1	immunoglobulin (CD79A) binding protein 1 pseudogene 1	pseudogene
IGBP1P2	immunoglobulin (CD79A) binding protein 1 pseudogene 2	pseudogene
IGBP1P3	immunoglobulin (CD79A) binding protein 1 pseudogene 3	pseudogene
IGBP1P4	immunoglobulin (CD79A) binding protein 1 pseudogene 4	pseudogene
IGBP1P5	immunoglobulin (CD79A) binding protein 1 pseudogene 5	pseudogene
IGDCC3	immunoglobulin superfamily DCC subclass member 3	gene with protein product
IGDCC4	immunoglobulin superfamily DCC subclass member 4	gene with protein product
IGER	symbol withdrawn, see [HGNC:7316](/data/gene-symbol-report/#!/hgnc_id/HGNC:7316)	phenotype only
IGES	immunoglobulin E concentration, serum	phenotype only
IGF1	insulin like growth factor 1	gene with protein product
IGF1R	insulin like growth factor 1 receptor	gene with protein product
IGF2	insulin like growth factor 2	gene with protein product
IGF2-AS	IGF2 antisense RNA	RNA, long non-coding
IGF2BP1	insulin like growth factor 2 mRNA binding protein 1	gene with protein product
IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	gene with protein product
IGF2BP2-AS1	IGF2BP2 antisense RNA 1	RNA, long non-coding
IGF2BP3	insulin like growth factor 2 mRNA binding protein 3	gene with protein product
IGF2R	insulin like growth factor 2 receptor	gene with protein product
IGFALS	insulin like growth factor binding protein acid labile subunit	gene with protein product
IGFBP1	insulin like growth factor binding protein 1	gene with protein product
IGFBP2	insulin like growth factor binding protein 2	gene with protein product
IGFBP3	insulin like growth factor binding protein 3	gene with protein product
IGFBP4	insulin like growth factor binding protein 4	gene with protein product
IGFBP5	insulin like growth factor binding protein 5	gene with protein product
IGFBP6	insulin like growth factor binding protein 6	gene with protein product
IGFBP7	insulin like growth factor binding protein 7	gene with protein product
IGFBP7-AS1	IGFBP7 antisense RNA 1	RNA, long non-coding
IGFBP10	symbol withdrawn, see [HGNC:2654](/data/gene-symbol-report/#!/hgnc_id/HGNC:2654)	unknown
IGFBPL1	insulin like growth factor binding protein like 1	gene with protein product
IGFL1	IGF like family member 1	gene with protein product
IGFL1P1	IGF like family member 1 pseudogene 1	pseudogene
IGFL1P2	IGF like family member 1 pseudogene 2	pseudogene
IGFL2	IGF like family member 2	gene with protein product
IGFL2-AS1	IGFL2 antisense RNA 1	RNA, long non-coding
IGFL3	IGF like family member 3	gene with protein product
IGFL4	IGF like family member 4	gene with protein product
IGFLR1	IGF like family receptor 1	gene with protein product
IGFN1	immunoglobulin like and fibronectin type III domain containing 1	gene with protein product
IGH	immunoglobulin heavy locus	gene with protein product
IGHA1	immunoglobulin heavy constant alpha 1	immunoglobulin gene
IGHA2	immunoglobulin heavy constant alpha 2 (A2m marker)	immunoglobulin gene
IGHD	immunoglobulin heavy constant delta	immunoglobulin gene
IGHD@	immunoglobulin heavy diversity cluster	region
IGHD1-1	immunoglobulin heavy diversity 1-1	immunoglobulin gene
IGHD1-7	immunoglobulin heavy diversity 1-7	immunoglobulin gene
IGHD1-14	immunoglobulin heavy diversity 1-14 (non-functional)	immunoglobulin gene
IGHD1-20	immunoglobulin heavy diversity 1-20	immunoglobulin gene
IGHD1-26	immunoglobulin heavy diversity 1-26	immunoglobulin gene
IGHD1OR15-1A	immunoglobulin heavy diversity 1/OR15-1A (non-functional)	immunoglobulin gene
IGHD1OR15-1B	immunoglobulin heavy diversity 1/OR15-1B (non-functional)	immunoglobulin gene
IGHD2-2	immunoglobulin heavy diversity 2-2	immunoglobulin gene
IGHD2-8	immunoglobulin heavy diversity 2-8	immunoglobulin gene
IGHD2-15	immunoglobulin heavy diversity 2-15	immunoglobulin gene
IGHD2-21	immunoglobulin heavy diversity 2-21	immunoglobulin gene
IGHD2OR15-2A	immunoglobulin heavy diversity 2/OR15-2A (non-functional)	immunoglobulin gene
IGHD2OR15-2B	immunoglobulin heavy diversity 2/OR15-2B (non-functional)	immunoglobulin gene
IGHD3-3	immunoglobulin heavy diversity 3-3	immunoglobulin gene
IGHD3-9	immunoglobulin heavy diversity 3-9	immunoglobulin gene
IGHD3-10	immunoglobulin heavy diversity 3-10	immunoglobulin gene
IGHD3-16	immunoglobulin heavy diversity 3-16	immunoglobulin gene
IGHD3-22	immunoglobulin heavy diversity 3-22	immunoglobulin gene
IGHD3OR15-3A	immunoglobulin heavy diversity 3/OR15-3A (non-functional)	immunoglobulin gene
IGHD3OR15-3B	immunoglobulin heavy diversity 3/OR15-3B (non-functional)	immunoglobulin gene
IGHD4-4	immunoglobulin heavy diversity 4-4	immunoglobulin gene
IGHD4-11	immunoglobulin heavy diversity 4-11 (non-functional)	immunoglobulin gene
IGHD4-17	immunoglobulin heavy diversity 4-17	immunoglobulin gene
IGHD4-23	immunoglobulin heavy diversity 4-23 (non-functional)	immunoglobulin gene
IGHD4OR15-4A	immunoglobulin heavy diversity 4/OR15-4A (non-functional)	immunoglobulin gene
IGHD4OR15-4B	immunoglobulin heavy diversity 4/OR15-4B (non-functional)	immunoglobulin gene
IGHD5-5	immunoglobulin heavy diversity 5-5	immunoglobulin gene
IGHD5-12	immunoglobulin heavy diversity 5-12	immunoglobulin gene
IGHD5-18	immunoglobulin heavy diversity 5-18	immunoglobulin gene
IGHD5-24	immunoglobulin heavy diversity 5-24 (non-functional)	immunoglobulin gene
IGHD5OR15-5A	immunoglobulin heavy diversity 5/OR15-5A (non-functional)	immunoglobulin gene
IGHD5OR15-5B	immunoglobulin heavy diversity 5/OR15-5B (non-functional)	immunoglobulin gene
IGHD6-6	immunoglobulin heavy diversity 6-6	immunoglobulin gene
IGHD6-13	immunoglobulin heavy diversity 6-13	immunoglobulin gene
IGHD6-19	immunoglobulin heavy diversity 6-19	immunoglobulin gene
IGHD6-25	immunoglobulin heavy diversity 6-25	immunoglobulin gene
IGHD7-27	immunoglobulin heavy diversity 7-27	immunoglobulin gene
IGHDOR15@	immunoglobulin heavy diversity orphans on chromosome 15	region
IGHDY1	symbol withdrawn, see [HGNC:5477](/data/gene-symbol-report/#!/hgnc_id/HGNC:5477)	unknown
IGHDY2	symbol withdrawn, see [HGNC:5519](/data/gene-symbol-report/#!/hgnc_id/HGNC:5519)	unknown
IGHE	immunoglobulin heavy constant epsilon	immunoglobulin gene
IGHEP1	immunoglobulin heavy constant epsilon P1 (pseudogene)	immunoglobulin pseudogene
IGHEP2	immunoglobulin heavy constant epsilon P2 (pseudogene)	immunoglobulin pseudogene
IGHG1	immunoglobulin heavy constant gamma 1 (G1m marker)	immunoglobulin gene
IGHG2	immunoglobulin heavy constant gamma 2 (G2m marker)	immunoglobulin gene
IGHG3	immunoglobulin heavy constant gamma 3 (G3m marker)	immunoglobulin gene
IGHG4	immunoglobulin heavy constant gamma 4 (G4m marker)	immunoglobulin gene
IGHGP	immunoglobulin heavy constant gamma P (non-functional)	immunoglobulin gene
IGHJ	symbol withdrawn, see [HGNC:5531](/data/gene-symbol-report/#!/hgnc_id/HGNC:5531)	unknown
IGHJ@	immunoglobulin heavy joining cluster	region
IGHJ1	immunoglobulin heavy joining 1	immunoglobulin gene
IGHJ1P	immunoglobulin heavy joining 1P (pseudogene)	immunoglobulin pseudogene
IGHJ2	immunoglobulin heavy joining 2	immunoglobulin gene
IGHJ2P	immunoglobulin heavy joining 2P (pseudogene)	immunoglobulin pseudogene
IGHJ3	immunoglobulin heavy joining 3	immunoglobulin gene
IGHJ3P	immunoglobulin heavy joining 3P (pseudogene)	immunoglobulin pseudogene
IGHJ4	immunoglobulin heavy joining 4	immunoglobulin gene
IGHJ5	immunoglobulin heavy joining 5	immunoglobulin gene
IGHJ6	immunoglobulin heavy joining 6	immunoglobulin gene
IGHM	immunoglobulin heavy constant mu	immunoglobulin gene
IGHMBP2	immunoglobulin mu DNA binding protein 2	gene with protein product
IGHR	immunoglobulin heavy chain regulator	region
IGHV	symbol withdrawn, see [HGNC:5545](/data/gene-symbol-report/#!/hgnc_id/HGNC:5545)	unknown
IGHV@	immunoglobulin heavy variable cluster	region
IGHV1-2	immunoglobulin heavy variable 1-2	immunoglobulin gene
IGHV1-3	immunoglobulin heavy variable 1-3	immunoglobulin gene
IGHV1-8	immunoglobulin heavy variable 1-8	immunoglobulin gene
IGHV1-12	immunoglobulin heavy variable 1-12 (pseudogene)	immunoglobulin pseudogene
IGHV1-14	immunoglobulin heavy variable 1-14 (pseudogene)	immunoglobulin pseudogene
IGHV1-17	immunoglobulin heavy variable 1-17 (pseudogene)	immunoglobulin pseudogene
IGHV1-18	immunoglobulin heavy variable 1-18	immunoglobulin gene
IGHV1-24	immunoglobulin heavy variable 1-24	immunoglobulin gene
IGHV1-38-4	immunoglobulin heavy variable 1-38-4 (non-functional)	immunoglobulin gene
IGHV1-45	immunoglobulin heavy variable 1-45	immunoglobulin gene
IGHV1-46	immunoglobulin heavy variable 1-46	immunoglobulin gene
IGHV1-58	immunoglobulin heavy variable 1-58	immunoglobulin gene
IGHV1-67	immunoglobulin heavy variable 1-67 (pseudogene)	immunoglobulin pseudogene
IGHV1-68	immunoglobulin heavy variable 1-68 (pseudogene)	immunoglobulin pseudogene
IGHV1-69	immunoglobulin heavy variable 1-69	immunoglobulin gene
IGHV1-69-2	immunoglobulin heavy variable 1-69-2	immunoglobulin gene
IGHV1-69D	immunoglobulin heavy variable 1-69D	immunoglobulin gene
IGHV1-E	symbol withdrawn, see [HGNC:5558](/data/gene-symbol-report/#!/hgnc_id/HGNC:5558)	unknown
IGHV1OR15-1	immunoglobulin heavy variable 1/OR15-1 (non-functional)	immunoglobulin gene
IGHV1OR15-2	immunoglobulin heavy variable 1/OR15-2 (pseudogene)	immunoglobulin pseudogene
IGHV1OR15-3	immunoglobulin heavy variable 1/OR15-3 (pseudogene)	immunoglobulin pseudogene
IGHV1OR15-4	immunoglobulin heavy variable 1/OR15-4 (pseudogene)	immunoglobulin pseudogene
IGHV1OR15-5	immunoglobulin heavy variable 1/OR15-5 (non-functional)	immunoglobulin gene
IGHV1OR15-6	immunoglobulin heavy variable 1/OR15-6 (pseudogene)	immunoglobulin pseudogene
IGHV1OR15-9	immunoglobulin heavy variable 1/OR15-9 (non-functional)	immunoglobulin gene
IGHV1OR16-1	immunoglobulin heavy variable 1/OR16-1 (pseudogene)	immunoglobulin pseudogene
IGHV1OR16-2	immunoglobulin heavy variable 1/OR16-2 (pseudogene)	immunoglobulin pseudogene
IGHV1OR16-3	immunoglobulin heavy variable 1/OR16-3 (pseudogene)	immunoglobulin pseudogene
IGHV1OR16-4	immunoglobulin heavy variable 1/OR16-4 (pseudogene)	immunoglobulin pseudogene
IGHV1OR21-1	immunoglobulin heavy variable 1/OR21-1 (non-functional)	immunoglobulin gene
IGHV2-5	immunoglobulin heavy variable 2-5	immunoglobulin gene
IGHV2-10	immunoglobulin heavy variable 2-10 (pseudogene)	immunoglobulin pseudogene
IGHV2-26	immunoglobulin heavy variable 2-26	immunoglobulin gene
IGHV2-70	immunoglobulin heavy variable 2-70	immunoglobulin gene
IGHV2-70D	immunoglobulin heavy variable 2-70D	immunoglobulin gene
IGHV2@	symbol withdrawn, see [HGNC:5711](/data/gene-symbol-report/#!/hgnc_id/HGNC:5711)	unknown
IGHV2OR16-5	immunoglobulin heavy variable 2/OR16-5 (non-functional)	immunoglobulin gene
IGHV3-6	immunoglobulin heavy variable 3-6 (pseudogene)	immunoglobulin pseudogene
IGHV3-7	immunoglobulin heavy variable 3-7	immunoglobulin gene
IGHV3-9	immunoglobulin heavy variable 3-9	immunoglobulin gene
IGHV3-11	immunoglobulin heavy variable 3-11 (gene/pseudogene)	immunoglobulin gene
IGHV3-13	immunoglobulin heavy variable 3-13	immunoglobulin gene
IGHV3-15	immunoglobulin heavy variable 3-15	immunoglobulin gene
IGHV3-16	immunoglobulin heavy variable 3-16 (non-functional)	immunoglobulin gene
IGHV3-19	immunoglobulin heavy variable 3-19 (pseudogene)	immunoglobulin pseudogene
IGHV3-20	immunoglobulin heavy variable 3-20	immunoglobulin gene
IGHV3-21	immunoglobulin heavy variable 3-21	immunoglobulin gene
IGHV3-22	immunoglobulin heavy variable 3-22 (pseudogene)	immunoglobulin pseudogene
IGHV3-23	immunoglobulin heavy variable 3-23	immunoglobulin gene
IGHV3-25	immunoglobulin heavy variable 3-25 (pseudogene)	immunoglobulin pseudogene
IGHV3-29	immunoglobulin heavy variable 3-29 (pseudogene)	immunoglobulin pseudogene
IGHV3-30	immunoglobulin heavy variable 3-30	immunoglobulin gene
IGHV3-30-2	immunoglobulin heavy variable 3-30-2 (pseudogene)	immunoglobulin pseudogene
IGHV3-30-3	immunoglobulin heavy variable 3-30-3	immunoglobulin gene
IGHV3-30-5	immunoglobulin heavy variable 3-30-5	immunoglobulin gene
IGHV3-32	immunoglobulin heavy variable 3-32 (pseudogene)	immunoglobulin pseudogene
IGHV3-33	immunoglobulin heavy variable 3-33	immunoglobulin gene
IGHV3-33-2	immunoglobulin heavy variable 3-33-2 (pseudogene)	immunoglobulin pseudogene
IGHV3-35	immunoglobulin heavy variable 3-35 (non-functional)	immunoglobulin gene
IGHV3-36	immunoglobulin heavy variable 3-36 (pseudogene)	immunoglobulin pseudogene
IGHV3-37	immunoglobulin heavy variable 3-37 (pseudogene)	immunoglobulin pseudogene
IGHV3-38	immunoglobulin heavy variable 3-38 (non-functional)	immunoglobulin gene
IGHV3-38-3	immunoglobulin heavy variable 3-38-3 (non-functional)	immunoglobulin gene
IGHV3-41	immunoglobulin heavy variable 3-41 (pseudogene)	immunoglobulin pseudogene
IGHV3-42	immunoglobulin heavy variable 3-42 (pseudogene)	immunoglobulin pseudogene
IGHV3-43	immunoglobulin heavy variable 3-43	immunoglobulin gene
IGHV3-43D	immunoglobulin heavy variable 3-43D	immunoglobulin gene
IGHV3-47	immunoglobulin heavy variable 3-47 (pseudogene)	immunoglobulin pseudogene
IGHV3-48	immunoglobulin heavy variable 3-48	immunoglobulin gene
IGHV3-49	immunoglobulin heavy variable 3-49	immunoglobulin gene
IGHV3-50	immunoglobulin heavy variable 3-50 (pseudogene)	immunoglobulin pseudogene
IGHV3-52	immunoglobulin heavy variable 3-52 (pseudogene)	immunoglobulin pseudogene
IGHV3-53	immunoglobulin heavy variable 3-53	immunoglobulin gene
IGHV3-54	immunoglobulin heavy variable 3-54 (pseudogene)	immunoglobulin pseudogene
IGHV3-57	immunoglobulin heavy variable 3-57 (pseudogene)	immunoglobulin pseudogene
IGHV3-60	immunoglobulin heavy variable 3-60 (pseudogene)	immunoglobulin pseudogene
IGHV3-62	immunoglobulin heavy variable 3-62 (pseudogene)	immunoglobulin pseudogene
IGHV3-63	immunoglobulin heavy variable 3-63 (pseudogene)	immunoglobulin pseudogene
IGHV3-64	immunoglobulin heavy variable 3-64	immunoglobulin gene
IGHV3-64D	immunoglobulin heavy variable 3-64D	immunoglobulin gene
IGHV3-65	immunoglobulin heavy variable 3-65 (pseudogene)	immunoglobulin pseudogene
IGHV3-66	immunoglobulin heavy variable 3-66	immunoglobulin gene
IGHV3-69-1	immunoglobulin heavy variable 3-69-1 (pseudogene)	immunoglobulin pseudogene
IGHV3-71	immunoglobulin heavy variable 3-71 (pseudogene)	immunoglobulin pseudogene
IGHV3-72	immunoglobulin heavy variable 3-72	immunoglobulin gene
IGHV3-73	immunoglobulin heavy variable 3-73	immunoglobulin gene
IGHV3-74	immunoglobulin heavy variable 3-74	immunoglobulin gene
IGHV3-75	immunoglobulin heavy variable 3-75 (pseudogene)	immunoglobulin pseudogene
IGHV3-76	immunoglobulin heavy variable 3-76 (pseudogene)	immunoglobulin pseudogene
IGHV3-79	immunoglobulin heavy variable 3-79 (pseudogene)	immunoglobulin pseudogene
IGHV3-G	symbol withdrawn, see [HGNC:5621](/data/gene-symbol-report/#!/hgnc_id/HGNC:5621)	immunoglobulin pseudogene
IGHV3@	symbol withdrawn, see [HGNC:5712](/data/gene-symbol-report/#!/hgnc_id/HGNC:5712)	unknown
IGHV3OR15-7	immunoglobulin heavy variable 3/OR15-7 (pseudogene)	immunoglobulin pseudogene
IGHV3OR16-6	immunoglobulin heavy variable 3/OR16-6 (pseudogene)	immunoglobulin pseudogene
IGHV3OR16-7	immunoglobulin heavy variable 3/OR16-7 (pseudogene)	immunoglobulin pseudogene
IGHV3OR16-8	immunoglobulin heavy variable 3/OR16-8 (non-functional)	immunoglobulin gene
IGHV3OR16-9	immunoglobulin heavy variable 3/OR16-9 (non-functional)	immunoglobulin gene
IGHV3OR16-10	immunoglobulin heavy variable 3/OR16-10 (non-functional)	immunoglobulin gene
IGHV3OR16-11	immunoglobulin heavy variable 3/OR16-11 (pseudogene)	immunoglobulin pseudogene
IGHV3OR16-12	immunoglobulin heavy variable 3/OR16-12 (non-functional)	immunoglobulin gene
IGHV3OR16-13	immunoglobulin heavy variable 3/OR16-13 (non-functional)	immunoglobulin gene
IGHV3OR16-14	immunoglobulin heavy variable 3/OR16-14 (pseudogene)	immunoglobulin pseudogene
IGHV3OR16-15	immunoglobulin heavy variable 3/OR16-15 (pseudogene)	immunoglobulin pseudogene
IGHV3OR16-16	immunoglobulin heavy variable 3/OR16-16 (pseudogene)	immunoglobulin pseudogene
IGHV4-4	immunoglobulin heavy variable 4-4	immunoglobulin gene
IGHV4-28	immunoglobulin heavy variable 4-28	immunoglobulin gene
IGHV4-30-1	immunoglobulin heavy variable 4-30-1	immunoglobulin gene
IGHV4-30-2	immunoglobulin heavy variable 4-30-2	immunoglobulin gene
IGHV4-30-4	immunoglobulin heavy variable 4-30-4	immunoglobulin gene
IGHV4-31	immunoglobulin heavy variable 4-31	immunoglobulin gene
IGHV4-34	immunoglobulin heavy variable 4-34	immunoglobulin gene
IGHV4-38-2	immunoglobulin heavy variable 4-38-2	immunoglobulin gene
IGHV4-39	immunoglobulin heavy variable 4-39	immunoglobulin gene
IGHV4-55	immunoglobulin heavy variable 4-55 (pseudogene)	immunoglobulin pseudogene
IGHV4-59	immunoglobulin heavy variable 4-59	immunoglobulin gene
IGHV4-61	immunoglobulin heavy variable 4-61	immunoglobulin gene
IGHV4-80	immunoglobulin heavy variable 4-80 (pseudogene)	immunoglobulin pseudogene
IGHV4OR15-8	immunoglobulin heavy variable 4/OR15-8 (non-functional)	immunoglobulin gene
IGHV5-10-1	immunoglobulin heavy variable 5-10-1	immunoglobulin gene
IGHV5-51	immunoglobulin heavy variable 5-51	immunoglobulin gene
IGHV5-78	immunoglobulin heavy variable 5-78 (pseudogene)	immunoglobulin pseudogene
IGHV6-1	immunoglobulin heavy variable 6-1	immunoglobulin gene
IGHV7-4-1	immunoglobulin heavy variable 7-4-1	immunoglobulin gene
IGHV7-27	immunoglobulin heavy variable 7-27 (pseudogene)	immunoglobulin pseudogene
IGHV7-34-1	immunoglobulin heavy variable 7-34-1 (pseudogene)	immunoglobulin pseudogene
IGHV7-40	immunoglobulin heavy variable 7-40 (pseudogene)	immunoglobulin pseudogene
IGHV7-56	immunoglobulin heavy variable 7-56 (pseudogene)	immunoglobulin pseudogene
IGHV7-77	immunoglobulin heavy variable 7-77 (provisional)	unknown
IGHV7-81	immunoglobulin heavy variable 7-81 (non-functional)	immunoglobulin gene
IGHV8-51-1	immunoglobulin heavy variable IGHV8-51-1 (non-functional)	immunoglobulin gene
IGHVII-1-1	immunoglobulin heavy variable (II)-1-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-15-1	immunoglobulin heavy variable (II)-15-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-20-1	immunoglobulin heavy variable (II)-20-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-22-1	immunoglobulin heavy variable (II)-22-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-26-2	immunoglobulin heavy variable (II)-26-2 (pseudogene)	immunoglobulin pseudogene
IGHVII-28-1	immunoglobulin heavy variable (II)-28-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-30-1	immunoglobulin heavy variable (II)-30-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-30-21	immunoglobulin heavy variable (II)-30-21 (pseudogene)	immunoglobulin pseudogene
IGHVII-31-1	immunoglobulin heavy variable (II)-31-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-33-1	immunoglobulin heavy variable (II)-33-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-40-1	immunoglobulin heavy variable (II)-40-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-43-1	immunoglobulin heavy variable (II)-43-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-44-2	immunoglobulin heavy variable (II)-44-2 (pseudogene)	immunoglobulin pseudogene
IGHVII-46-1	immunoglobulin heavy variable (II)-46-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-49-1	immunoglobulin heavy variable (II)-49-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-51-2	immunoglobulin heavy variable (II)-51-2 (pseudogene)	immunoglobulin pseudogene
IGHVII-53-1	immunoglobulin heavy variable (II)-53-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-60-1	immunoglobulin heavy variable (II)-60-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-62-1	immunoglobulin heavy variable (II)-62-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-65-1	immunoglobulin heavy variable (II)-65-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-67-1	immunoglobulin heavy variable (II)-67-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-74-1	immunoglobulin heavy variable (II)-74-1 (pseudogene)	immunoglobulin pseudogene
IGHVII-78-1	immunoglobulin heavy variable (II)-78-1 (pseudogene)	immunoglobulin pseudogene
IGHVIII-2-1	immunoglobulin heavy variable (III)-2-1 (pseudogene)	immunoglobulin pseudogene
IGHVIII-5-1	immunoglobulin heavy variable (III)-5-1 (pseudogene)	immunoglobulin pseudogene
IGHVIII-5-2	immunoglobulin heavy variable (III)-5-2 (pseudogene)	immunoglobulin pseudogene
IGHVIII-11-1	immunoglobulin heavy variable (III)-11-1 (pseudogene)	immunoglobulin pseudogene
IGHVIII-13-1	immunoglobulin heavy variable (III)-13-1 (pseudogene)	immunoglobulin pseudogene
IGHVIII-16-1	immunoglobulin heavy variable (III)-16-1 (pseudogene)	immunoglobulin pseudogene
IGHVIII-22-2	immunoglobulin heavy variable (III)-22-2 (pseudogene)	immunoglobulin pseudogene
IGHVIII-25-1	immunoglobulin heavy variable (III)-25-1 (pseudogene)	immunoglobulin pseudogene
IGHVIII-26-1	immunoglobulin heavy variable (III)-26-1 (pseudogene)	immunoglobulin pseudogene
IGHVIII-38-1	immunoglobulin heavy variable (III)-38-1 (pseudogene)	immunoglobulin pseudogene
IGHVIII-44	immunoglobulin heavy variable (III)-44 (pseudogene)	immunoglobulin pseudogene
IGHVIII-47-1	immunoglobulin heavy variable (III)-47-1 (pseudogene)	immunoglobulin pseudogene
IGHVIII-67-2	immunoglobulin heavy variable (III)-67-2 (pseudogene)	immunoglobulin pseudogene
IGHVIII-67-3	immunoglobulin heavy variable (III)-67-3 (pseudogene)	immunoglobulin pseudogene
IGHVIII-67-4	immunoglobulin heavy variable (III)-67-4 (pseudogene)	immunoglobulin pseudogene
IGHVIII-76-1	immunoglobulin heavy variable (III)-76-1 (pseudogene)	immunoglobulin pseudogene
IGHVIII-82	immunoglobulin heavy variable (III)-82 (pseudogene)	immunoglobulin pseudogene
IGHVIV-44-1	immunoglobulin heavy variable (IV)-44-1 (pseudogene)	immunoglobulin pseudogene
IGHVOR15@	immunoglobulin heavy variable orphans on chromosome 15	region
IGHVOR16@	immunoglobulin heavy variable orphans on chromosome 16	region
IGIP	IgA inducing protein	gene with protein product
IGK	immunoglobulin kappa locus	gene with protein product
IGKC	immunoglobulin kappa constant	immunoglobulin gene
IGKDEL	immunoglobulin kappa deleting element or like	unknown
IGKJ@	immunoglobulin kappa joining cluster	region
IGKJ1	immunoglobulin kappa joining 1	immunoglobulin gene
IGKJ2	immunoglobulin kappa joining 2	immunoglobulin gene
IGKJ3	immunoglobulin kappa joining 3	immunoglobulin gene
IGKJ4	immunoglobulin kappa joining 4	immunoglobulin gene
IGKJ5	immunoglobulin kappa joining 5	immunoglobulin gene
IGKJRB1	symbol withdrawn, see [HGNC:5724](/data/gene-symbol-report/#!/hgnc_id/HGNC:5724)	unknown
IGKJRBP1	symbol withdrawn, see [HGNC:5725](/data/gene-symbol-report/#!/hgnc_id/HGNC:5725)	unknown
IGKJRBP2	symbol withdrawn, see [HGNC:5726](/data/gene-symbol-report/#!/hgnc_id/HGNC:5726)	unknown
IGKV	symbol withdrawn, see [HGNC:5728](/data/gene-symbol-report/#!/hgnc_id/HGNC:5728)	unknown
IGKV@	immunoglobulin kappa variable cluster	region
IGKV1	symbol withdrawn, see [HGNC:5728](/data/gene-symbol-report/#!/hgnc_id/HGNC:5728)	unknown
IGKV1-5	immunoglobulin kappa variable 1-5	immunoglobulin gene
IGKV1-6	immunoglobulin kappa variable 1-6	immunoglobulin gene
IGKV1-8	immunoglobulin kappa variable 1-8	immunoglobulin gene
IGKV1-9	immunoglobulin kappa variable 1-9	immunoglobulin gene
IGKV1-12	immunoglobulin kappa variable 1-12	immunoglobulin gene
IGKV1-13	immunoglobulin kappa variable 1-13 (gene/pseudogene)	immunoglobulin gene
IGKV1-16	immunoglobulin kappa variable 1-16	immunoglobulin gene
IGKV1-17	immunoglobulin kappa variable 1-17	immunoglobulin gene
IGKV1-22	immunoglobulin kappa variable 1-22 (pseudogene)	immunoglobulin pseudogene
IGKV1-27	immunoglobulin kappa variable 1-27	immunoglobulin gene
IGKV1-32	immunoglobulin kappa variable 1-32 (pseudogene)	immunoglobulin pseudogene
IGKV1-33	immunoglobulin kappa variable 1-33	immunoglobulin gene
IGKV1-35	immunoglobulin kappa variable 1-35 (pseudogene)	immunoglobulin pseudogene
IGKV1-37	immunoglobulin kappa variable 1-37 (non-functional)	immunoglobulin gene
IGKV1-39	immunoglobulin kappa variable 1-39 (gene/pseudogene)	immunoglobulin gene
IGKV1@	symbol withdrawn, see [HGNC:5728](/data/gene-symbol-report/#!/hgnc_id/HGNC:5728)	unknown
IGKV1D-8	immunoglobulin kappa variable 1D-8	immunoglobulin gene
IGKV1D-12	immunoglobulin kappa variable 1D-12	immunoglobulin gene
IGKV1D-13	immunoglobulin kappa variable 1D-13	immunoglobulin gene
IGKV1D-16	immunoglobulin kappa variable 1D-16	immunoglobulin gene
IGKV1D-17	immunoglobulin kappa variable 1D-17	immunoglobulin gene
IGKV1D-22	immunoglobulin kappa variable 1D-22 (pseudogene)	immunoglobulin pseudogene
IGKV1D-27	immunoglobulin kappa variable 1D-27 (pseudogene)	immunoglobulin pseudogene
IGKV1D-32	immunoglobulin kappa variable 1D-32 (pseudogene)	immunoglobulin pseudogene
IGKV1D-33	immunoglobulin kappa variable 1D-33	immunoglobulin gene
IGKV1D-35	immunoglobulin kappa variable 1D-35 (pseudogene)	immunoglobulin pseudogene
IGKV1D-37	immunoglobulin kappa variable 1D-37 (non-functional)	immunoglobulin gene
IGKV1D-39	immunoglobulin kappa variable 1D-39	immunoglobulin gene
IGKV1D-42	immunoglobulin kappa variable 1D-42 (non-functional)	immunoglobulin gene
